Date,Time,Engineer,Feed_System,Feedbin_Level,Signs_Pre-Steam_Bin_Chute_Clogging,Boiler,High_Pressure_Seals,Low_Pressure_Seals,Seal_Water_Filter_Inlet_Pressure,Seal_Water_Filter_Outlet_Pressure,Top_Knife_Gate_Flush_System,Top_Knife_Gate_Movement,Top_Knife_Gate_Packing,Bottom_Knife_Gate_Flush_System,Bottom_Knife_Gate_Movement,Bottom_Knife_Gate_Packing,Top_Ball_Valve,Bottom_Ball_Valve,Gear_Drive_Temp,Vibrator_Pressure,Hydrolyzer_Vent_Positon,Squeezing_Hz,Blow_Tank_Samples,Percentage_Presteam_Livebottom_Speed,Flow_Rate_Test,Shift_Change_System_Pressure,Shift_Change_System_Temp,System_Shut_Down_During_Shift,If_Shut_Down_Boiler_Blow_Down,BBD_Fully_Close,Wash_Down,Notes
2015-01-20,NA,JS,Ran well,Nearly empty at end of shift,Two near clogging events occurred,Good,Good,Good,61,58,Good,Good,Good,Good,See notes,Good,NA,NA,NA,See notes,Closed,No,No,NA,None,Shut down,Shut down,NA,No,NA,NA,Bottom knife gate movement began rough but cleared up | Vibrator pressure was changed from 20 to 40 PSI upon pre-steam xfer chute clogging
2015-01-27,20:00,JS,Ran well,Good,Started clogging at end of shift and still trying to clear it up,Good,Good,Good,62,59,Good,Good,Good,Good,Good,Good,NA,NA,NA,60,Closed,No,No,NA,None,170,373,NA,No,NA,NA,At end of shift pre-steam transfer conveyor started to clog while running at 100% and still working through it | Bumped vibrator pressure up to 60 PSI 
2015-01-28,07:48,KW,Ran well,Good,Two major clogs which led to shut down,Good,Good,Good,63,60,Good,Good,Good,Good,Good,NA,NA,NA,NA,58,Closed,No,No,NA,179.5 lbs/hr DW,166,374,NA,No,NA,NA,Slowed pre-steam livebottoms down to 90% and had no problems after that change | Ran plug screw at 135% the entire shift which shows that biomass not moving fast enough
2015-01-28,20:00,JS,Ran well,Good,Clogged once and caused a shut down,Good except during blow down,Good,Good,62,57,See notes,Good,Good,Good,Good,Good,NA,NA,See notes,20,Closed,No,Yes,NA,Shooting blind,167,375,NA,See notes,NA,NA,Top knife gate flush system working with a high squeal noise every time closes | Gear drive temps good | The hydrolyzer discharge conveyor gear drive was a little hot at 125 F | Clogged very badly while running at 90% on the pre-steam bottoms | Upon restart ran at 80% and kept a high level in the pre-steam bin | The level in the presteam bin was maintained using the camera | The level indicator cannot be trusted | Ran great up to 21:00 | First time blowing boiler down while in a campaign | Did three valve cycles but pressure in METSO dropped significantly | Should do only one very brief cycle in the future
2015-01-29,07:59,KW,Ran well,Good,No problems,Good except during blow down when shut down,Good,Good,63,58,Good,See notes,Good,Good,Good,Good,NA,NA,Good,20,Closed,No ,Yes,NA,Shooting blind,167,375,NA,Yes,NA,NA,Top knife gate movement had problems closings periodically
2015-02-10,20:00,KW,Ran well,Good,No problems,Good,Good,Good,63,55,NA,NA,NA,NA,NA,NA,Very slow to close,Working well,NA,See notes,Cracked,No ,Yes,NA,58 lbs/hr DW at 80% PSLB,NA,NA,NA,No,NA,NA,Vibrator pressure was 80 PSI for several hours then 20 PSI for remainder of shift
2015-02-11,08:00,JS,Ran well,Good,No problems,Good,Good,Good,63,55,NA,NA,NA,NA,NA,NA,See notes,See notes,NA,40,Cracked,No ,Yes,NA,No,NA,NA,NA,No,NA,NA,First time using the new resurfaced ball valves | The top valve was set up with the double acting ACTREG actuator but it was closing incredibly slow | It took between 10-11 seconds to fully close | The bottom valve used the spring loaded actuator and worked quite well | It was taking between 2-3 seconds to fully open and close
2015-02-11,20:00,JS,Ran well,Good,No problems,Good,See notes,See notes,63,55,NA,NA,NA,NA,NA,NA,Very slow to close,Working well,NA,40,Cracked,No ,Yes,NA,No,NA,NA,NA,Yes,NA,NA,Potable water supply to the plant randomly quit | Tried switching seals over to process water but filters clogged immediately | The bushing for the acid inlet into METSO failed | Threads were eaten up even though it was SS | Ball valves overall worked great for Campaign 9
2015-02-13,18:00,KW,Ran well,Good,Good,Good,Good,Good,63,60,NA,NA,NA,NA,NA ,NA,See notes,Working well,NA,43,Cracked,No,Yes,80,No,170,375,NA,Yes,NA,NA,Began taking actuator on top ball valve shut down and discovered a piece of aluminum in the air inlet on the close side |  Removed piece and reinstalled ball valve |  Began working fine once reinstalled | Mistakenly installed ball valve closed with acutator in the open position | Once engaged it sheared a marker stud shut down | Immediately stopped to fix and ran with no problems
2015-02-27,02:30,KW,Ran well ,See notes,See notes,Good,Good,Good,62,59,NA,NA,NA,NA,NA,NA,Good,Good,Good,40,Cracked,No,Yes,80,151 lbs/hr DW,150.3,366.5,NA,No,NA,NA,Override was shut down for level of liquefaction and presteam livebottoms | We got a spike in level for the liquefaction tank and shut down the presteam livebottoms which nearly blew the plug | Presteam level reading 95% but the visual level through the camera shows it being very low
